,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city
223,2014,Hyundai,Hyundai Verna Fluidic 1.6 CRDi SX,Verna,725000.0,50781.0,Diesel,Hyderabad
224,2019,Maruti Suzuki,Maruti Suzuki Vitara Brezza VDi,Vitara,990000.0,41000.0,Diesel,Hyderabad
225,2012,Tata,Tata Nano LX,Nano,95000.0,31000.0,Petrol,Hyderabad
226,2017,Hyundai,Hyundai Creta 1.6 SX Plus Special Edition,Creta,1035000.0,56462.0,Diesel,Hyderabad
227,2017,Honda,Honda City V Petrol [2017-2019],City,775000.0,44150.0,Petrol,Hyderabad
228,2019,Hyundai,Hyundai Creta SX 1.6 Petrol,Creta,1285000.0,20000.0,Petrol,Hyderabad
229,2016,Honda,Honda City SV Diesel,City,775000.0,66000.0,Diesel,Hyderabad
230,2015,Volkswagen,Volkswagen Polo Highline1.2L (P),Polo,550000.0,68000.0,Petrol,Hyderabad
231,2012,Skoda,Skoda Yeti Ambition 2.0 TDI CR 4x2,Yeti,675000.0,95000.0,Diesel,Hyderabad
232,2017,Maruti Suzuki,Maruti Suzuki Ciaz ZDi+ SHVS RS [2015-2017],Ciaz,795000.0,54000.0,Diesel,Hyderabad
233,2012,Nissan,Nissan Sunny XL,Sunny,370000.0,72000.0,Petrol,Hyderabad
234,2011,Ford,Ford Figo Duratorq Diesel ZXI 1.4,Figo,275000.0,115000.0,Diesel,Hyderabad
235,2016,Ford,Ford EcoSport Titanium 1.5L TDCi,EcoSport,745000.0,46816.0,Diesel,Hyderabad
236,2017,Honda,Honda City VX (O) MT Diesel,City,975000.0,94000.0,Diesel,Hyderabad
237,2012,Skoda,Skoda Yeti Elegance 2.0 TDI CR 4x4,Yeti,675000.0,107000.0,Diesel,Hyderabad
238,2015,Mahindra,Mahindra Quanto C8,Quanto,450000.0,80000.0,Diesel,Hyderabad
239,2007,Honda,Honda Accord 3.0 V6 AT,Accord,450000.0,110000.0,Petrol,Hyderabad
240,2010,Ford,Ford Endeavour 3.0L 4x4 AT,Endeavour,685000.0,115000.0,Diesel,Hyderabad
241,2020,Hyundai,Hyundai Creta SX (O) 1.5 Diesel,Creta,1889999.9999999998,23906.0,Diesel,Hyderabad
242,2017,Mahindra,Mahindra Thar CRDe 4x4 AC1,Thar,875000.0,76000.0,Diesel,Hyderabad
243,2018,Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],Grand,625000.0,43000.0,Petrol,Hyderabad
244,2018,Toyota,Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],Innova,1875000.0,142000.0,Diesel,Hyderabad
