,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city
133,2015,Renault,Renault Lodgy 85 PS RXZ [2015-2016],Lodgy,675000.0,54174.0,Diesel,Bangalore
134,2015,Maruti Suzuki,Maruti Suzuki Swift VDi,Swift,675000.0,69304.0,Diesel,Bangalore
135,2009,Honda,Honda City 1.5 S MT,City,395000.0,47957.0,Petrol,Bangalore
136,2019,Honda,Honda City ZX Petrol [2019-2019],City,1125000.0,15593.0,Petrol,Bangalore
137,2012,Mahindra,Mahindra XUV500 W8,XUV500,745000.0,79960.0,Diesel,Bangalore
138,2015,Audi,Audi Q5 3.0 TDI quattro Premium Plus,Q5,3000000.0,85000.0,Diesel,Bangalore
139,2017,Hyundai,Hyundai i20 Active 1.2 SX,i20,700000.0,37640.0,Petrol,Bangalore
140,2017,Hyundai,Hyundai Elite i20 Sportz 1.2,Elite,650000.0,40977.0,Petrol,Bangalore
141,2018,Mercedes-Benz,Mercedes-Benz C-Class C 220 CDI Avantgarde,C-Class,3975000.0,18000.0,Diesel,Bangalore
142,2016,Maruti Suzuki,Maruti Suzuki Swift VDi [2014-2017],Swift,625000.0,66000.0,Diesel,Bangalore
143,2019,Mahindra,Mahindra Scorpio S11 2WD 7 STR,Scorpio,1500000.0,70000.0,Diesel,Bangalore
144,2019,MG,MG Hector Sharp 1.5 DCT Petrol [2019-2020],Hector,1795000.0,39000.0,Petrol,Bangalore
145,2021,MG,MG Hector Super Hybrid 1.5 Petrol [2019-2020],Hector,2100000.0,3000.0,Hybrid,Bangalore
146,2017,Maruti Suzuki,Maruti Suzuki Alto 800 Vxi,Alto,345000.0,42305.0,Petrol,Bangalore
147,2016,Hyundai,Hyundai i20 Active 1.2 SX,i20,745000.0,24301.0,Petrol,Bangalore
148,2018,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,699000.0,37422.0,Petrol,Bangalore
149,2015,Maruti Suzuki,Maruti Suzuki Alto 800 Lxi,Alto,325000.0,18760.0,Petrol,Bangalore
150,2012,Honda,Honda Jazz S,Jazz,405000.0,52616.0,Petrol,Bangalore
151,2016,Maruti Suzuki,Maruti Suzuki Ciaz ZXi AT,Ciaz,750000.0,45949.0,Petrol,Bangalore
152,2016,Chevrolet,Chevrolet Beat LS Petrol,Beat,340000.0,63708.0,Petrol,Bangalore
153,2013,Hyundai,Hyundai i10 Era 1.1 iRDE2 [2010-2017],i10,335000.0,45654.0,Petrol,Bangalore
154,2016,Maruti Suzuki,Maruti Suzuki Celerio ZXi,Celerio,475000.0,54807.0,Petrol,Bangalore
155,2014,Nissan,Nissan Micra XV CVT [2016-2017],Micra,475000.0,61604.0,Petrol,Bangalore
156,2017,Renault,Renault Kwid 1.0 RXL AMT [2017-2019],Kwid,409999.99999999994,13839.0,Petrol,Bangalore
157,2019,Kia,Kia Seltos GTX Plus 1.4 [2020-2021],Seltos,1550000.0,21152.0,Petrol,Bangalore
158,2010,Hyundai,Hyundai i10 Magna 1.2 AT,i10,265000.0,90818.0,Petrol,Bangalore
159,2014,Renault,Renault Pulse RxZ Airbags,Pulse,434999.99999999994,63756.0,Diesel,Bangalore
160,2016,Maruti Suzuki,Maruti Suzuki Ciaz ZXi AT,Ciaz,750000.0,45949.0,Petrol,Bangalore
161,2017,Ford,Ford Aspire Titanium1.5 TDCi,Aspire,675000.0,41917.0,Diesel,Bangalore
162,2016,Volkswagen,Volkswagen Cross Polo 1.5 TDI,Cross,685000.0,36321.0,Diesel,Bangalore
163,2018,Renault,Renault Kwid 1.0 RXT AMT Opt [2016-2019],Kwid,445000.0,22795.0,Petrol,Bangalore
164,2015,Maruti Suzuki,Maruti Suzuki Celerio ZXi AMT [2019-2020],Celerio,470000.0,35153.0,Petrol,Bangalore
165,2015,Maruti Suzuki,Maruti Suzuki Ciaz ZXI+,Ciaz,699000.0,74541.0,Petrol,Bangalore
166,2016,Hyundai,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],Grand,575000.0,40198.0,Petrol,Bangalore
167,2013,Hyundai,Hyundai Eon D-Lite,Eon,290000.0,35421.0,Petrol,Bangalore
168,2016,Honda,Honda Jazz S MT [2015-2016],Jazz,580000.0,44814.0,Petrol,Bangalore
169,2016,Hyundai,Hyundai Fluidic Verna 4S 1.6 VTVT S,Fluidic,699000.0,42811.0,Petrol,Bangalore
170,2016,Maruti Suzuki,Maruti Suzuki Baleno Zeta 1.3,Baleno,699000.0,30264.0,Diesel,Bangalore
