,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city
162,2019,Audi,Audi A3 35 TFSI Technology,A3,2550000.0,15000.0,Petrol,Delhi
163,2012,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,1650000.0,65000.0,Diesel,Delhi
164,2015,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,465000.00000000006,58000.0,Petrol,Noida
165,2019,Toyota,Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],Innova,2325000.0,38000.0,Diesel,Delhi
166,2019,Tata,Tata Harrier XZ [2019-2020],Harrier,1625000.0,12000.0,Diesel,Delhi
167,2018,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 MT,Ciaz,894999.9999999999,27000.0,Petrol,Delhi
168,2017,Mercedes-Benz,Mercedes-Benz CLA 45 AMG 4MATIC [2017-2017],CLA,4300000.0,17000.0,Petrol,Dehradun
169,2016,Volvo,Volvo V40 D3 R-Design,V40,1750000.0,78000.0,Diesel,Dehradun
170,2018,Mercedes-Benz,Mercedes-Benz E-Class E 220d Expression [2019-2019],E-Class,4700000.0,38200.0,Diesel,Dehradun
171,2020,Land Rover,Land Rover Range Rover Evoque S [2020-2021],Evoque,5900000.0,9000.0,Diesel,Dehradun
172,2018,Mercedes-Benz,Mercedes-Benz GLC 220 d Sport,GLC,4500000.0,43000.0,Diesel,Dehradun
173,2019,Mercedes-Benz,Mercedes-Benz S-Class (W222) S 350D [2018-2020],S-Class,11000000.0,7111.0,Diesel,Dehradun
174,2015,Mercedes-Benz,Mercedes-Benz GLA 200 Sport,GLA,2050000.0,18000.0,Petrol,Dehradun
175,2018,Mercedes-Benz,Mercedes-Benz GLC 220 d Sport,GLC,4500000.0,43000.0,Diesel,Dehradun
176,2018,Mercedes-Benz,Mercedes-Benz E-Class E 220d Expression [2019-2019],E-Class,4700000.0,38200.0,Diesel,Dehradun
177,2014,Mercedes-Benz,Mercedes-Benz A-Class A 180 CDI Style,A-Class,1275000.0,56000.0,Diesel,Delhi
178,2017,Mercedes-Benz,Mercedes-Benz CLA 200 CDI Sport,CLA,2575000.0,22500.0,Diesel,Delhi
179,2010,Mitsubishi,Mitsubishi Outlander 2.4 MIVEC,Outlander,550000.0,75000.0,Petrol,Delhi
180,2018,BMW,BMW 5 Series 520d Luxury Line [2017-2019],5,4200000.0,24000.0,Diesel,Delhi
181,2014,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,2390000.0,57000.0,Diesel,Delhi
182,2020,Mercedes-Benz,Mercedes-Benz GLC 220 d Progressive,GLC,5700000.0,9000.0,Diesel,Delhi
183,2019,Toyota,Toyota Innova Crysta 2.7 ZX AT 7 STR,Innova,2175000.0,15800.0,Petrol,Delhi
184,2019,Honda,Honda City VX (O) MT BL,City,1145000.0,21963.0,Petrol,Delhi
185,2013,Hyundai,Hyundai Grand i10 Sportz AT 1.2 Kappa VTVT,Grand,370000.0,49350.0,Petrol,Delhi
186,2019,Mahindra,Mahindra Scorpio S11 2WD 8 STR,Scorpio,1675000.0,53500.0,Diesel,Lucknow
187,2018,Jeep,Jeep Compass Limited Plus Petrol AT [2018-2020],Compass,1650000.0,16000.0,Petrol,Ghaziabad
188,2012,Honda,Honda Brio S MT,Brio,235000.0,65000.0,Petrol,Noida
189,2019,MG,MG Hector Sharp 1.5 DCT Petrol [2019-2020],Hector,1639999.9999999998,24000.0,Petrol,Delhi
190,2019,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,635000.0,13000.0,Petrol,Delhi
191,2010,Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXi,Wagon,125000.0,71000.0,Petrol,Delhi
192,2017,BMW,BMW X5 xDrive35i Pure Experience (5 seater),X5,4700000.0,47000.0,Petrol,Delhi
193,2018,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 AT,Ciaz,910000.0,34000.0,Petrol,Delhi
194,2017,Honda,Honda WR-V VX MT Diesel,WR-V,720000.0,73000.0,Diesel,Delhi
195,2018,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.3,Baleno,635000.0,70000.0,Diesel,Delhi
196,2021,Mahindra,Mahindra Thar LX 4-STR Hard Top Petrol AT,Thar,1850000.0,4000.0,Petrol,Delhi
197,2010,Honda,Honda City 1.5 S MT,City,310000.0,58000.0,Petrol,Delhi
198,2016,Maruti Suzuki,Maruti Suzuki Swift VXi [2014-2017],Swift,459999.99999999994,29000.0,Petrol,Delhi
199,2019,Jaguar,Jaguar XE Prestige,XE,3390000.0,18000.0,Petrol,Delhi
200,2018,Mercedes-Benz,Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],E-Class,5175000.0,14880.0,Diesel,Delhi
201,2019,Maruti Suzuki,Maruti Suzuki Celerio VXi CNG [2019-2020],Celerio,535000.0,45000.0,CNG + 1,Delhi
202,2012,Maruti Suzuki,Maruti Suzuki Swift DZire VXI,Swift,320000.0,80000.0,Petrol,Delhi
203,2020,Mercedes-Benz,Mercedes-Benz CLA 200 CDI Sport (CBU),CLA,3000000.0,4000.0,Diesel,Delhi
204,2009,Maruti Suzuki,Maruti Suzuki Wagon R LXi Minor,Wagon,135000.0,75000.0,Petrol,Delhi
205,2019,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,635000.0,13000.0,Petrol,Delhi
206,2018,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 AT,Ciaz,910000.0,34000.0,Petrol,Delhi
207,2017,Ford,Ford Endeavour Titanium 3.2 4x4 AT,Endeavour,2750000.0,50000.0,Diesel,Delhi
208,2020,Kia,Kia Seltos GTX Plus AT 1.4 [2019-2020],Seltos,1850000.0,5800.0,Petrol,Delhi
209,2017,BMW,BMW X5 xDrive35i Pure Experience (5 seater),X5,4700000.0,47000.0,Petrol,Delhi
210,2016,Ford,Ford Mustang GT Fastback 5.0L v8,Mustang,7300000.0,23000.0,Petrol,Delhi
211,2014,Honda,Honda Brio S MT,Brio,325000.0,52000.0,Petrol,Delhi
212,2017,Honda,Honda WR-V VX MT Diesel,WR-V,720000.0,73000.0,Diesel,Delhi
213,2018,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.3,Baleno,635000.0,70000.0,Diesel,Delhi
214,2014,Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],Grand,395000.0,23000.0,Petrol,Delhi
215,2017,BMW,BMW X1 sDrive20d xLine,X1,2350000.0,48000.0,Diesel,Delhi
216,2020,Mercedes-Benz,Mercedes-Benz E-Class E 220d Exclusive [2019-2019],E-Class,5600000.0,8000.0,Diesel,Delhi
217,2020,MG,MG Hector Sharp 1.5 DCT Petrol [2019-2020],Hector,1825000.0,45000.0,Petrol,Delhi
218,2011,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,225000.0,71000.0,Petrol + 1,Delhi
219,2016,Renault,Renault Duster 110 PS RXZ 4X4 MT Diesel,Duster,545000.0,50000.0,Diesel,Delhi
220,2010,Honda,Honda City 1.5 S MT,City,310000.0,58000.0,Petrol,Delhi
221,2016,Maruti Suzuki,Maruti Suzuki Swift VXi [2014-2017],Swift,459999.99999999994,29000.0,Petrol,Delhi
222,2012,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,245000.00000000003,52000.0,Petrol,Delhi
223,2017,Ford,Ford Endeavour Titanium 3.2 4x4 AT,Endeavour,2950000.0,31000.0,Diesel,Delhi
224,2019,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,635000.0,13000.0,Petrol,Delhi
225,2017,Ford,Ford Endeavour Titanium 3.2 4x4 AT,Endeavour,2750000.0,50000.0,Diesel,Delhi
226,2020,Kia,Kia Seltos GTX Plus AT 1.4 [2019-2020],Seltos,1850000.0,5800.0,Petrol,Delhi
227,2017,BMW,BMW X5 xDrive35i Pure Experience (5 seater),X5,4700000.0,47000.0,Petrol,Delhi
228,2016,Ford,Ford Mustang GT Fastback 5.0L v8,Mustang,7300000.0,23000.0,Petrol,Delhi
229,2012,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,245000.00000000003,52000.0,Petrol,Delhi
230,2010,Honda,Honda City 1.5 S MT,City,310000.0,58000.0,Petrol,Delhi
231,2016,Maruti Suzuki,Maruti Suzuki Swift VXi [2014-2017],Swift,459999.99999999994,29000.0,Petrol,Delhi
232,2015,Hyundai,Hyundai Elite i20 Asta 1.4 (O) CRDi,Elite,550000.0,55000.0,Diesel,Delhi
233,2018,Audi,Audi Q3 35 TDI quattro Premium Plus,Q3,2750000.0,37000.0,Diesel,Ghaziabad
234,2014,Chevrolet,Chevrolet Beat LS Diesel,Beat,195000.0,39000.0,Diesel,Delhi
235,2015,Honda,Honda Amaze 1.2 S i-VTEC,Amaze,390000.0,61000.0,Petrol,Ghaziabad
236,2014,Volkswagen,Volkswagen Polo GT TDI,Polo,385000.0,85000.0,Diesel,Delhi
237,2019,Skoda,Skoda Octavia 2.0 TDI L&K,Octavia,1998999.9999999998,51000.0,Diesel,Delhi
238,2015,Mercedes-Benz,Mercedes-Benz M-Class ML 350 CDI,M-Class,2900000.0,47000.0,Diesel,Delhi
239,2015,Volkswagen,Volkswagen Polo GT TSI,Polo,550000.0,67000.0,Petrol,Delhi
240,2018,Mahindra,Mahindra XUV500 W5 [2018-2020],XUV500,1075000.0,23000.0,Diesel,Delhi
241,2016,Honda,Honda Amaze 1.2 S i-VTEC Opt,Amaze,434999.99999999994,52000.0,Petrol,Delhi
242,2012,Honda,Honda City 1.5 V MT,City,425000.0,80000.0,Petrol,Delhi
243,2010,Maruti Suzuki,Maruti Suzuki SX4 VXi,SX4,225000.0,72000.0,Petrol,Ghaziabad
244,2013,Mercedes-Benz,Mercedes-Benz GL 350 CDI,GL,2650000.0,68000.0,Diesel,Faridabad
245,2019,Mahindra,Mahindra XUV300 1.5 W8 (O) [2019-2020],XUV300,925000.0,25000.0,Diesel,Delhi
